Zeitstempel,Condition,Task,I felt the weight of the shovel increasing when loading it,I felt the weight of the shovel decreasing when unloading it,"After the shovel had been loaded, it required more effort to manipulate","After the shovel had been unloaded, it required less effort to manipulate",How physically challenging was the experience?,1. Mental Demand,2. Physical Demand,3.  Temporal Demand,5. Effort,6. Frustration Level,"I felt the weight of the object, while i was grabbing it","The weight of the object, while i was grabbing it, felt realistic",  My sense of being in the virtual world was like being in a real place.,2. How responsive was the environment to actions that you initiated (or performed)?,3. How natural did your interactions with the environment seem?,10. How compelling was your sense of objects moving through space?,11. How inconsistent or disconnected was the information coming from your various senses?,12. How much did your experiences in the virtual environment seem consistent with your real-world experiences?,13. Were you able to anticipate what would happen next in response to the actions that you performed?,21. How well could you move or manipulate objects in the virtual environment?,23. How involved were you in the virtual environment experience?,24. How distracting was the control mechanism?,26. How quickly did you adjust to the virtual environment experience?,27. How proficient in moving and interacting with the virtual environment did you feel at the end of the experience?,"29. How much did the control devices interfere with the performance of
assigned tasks or with other activities?","30. How well could you concentrate on the assigned tasks or required activities
rather than on the mechanisms used to perform those tasks or activities?",31. Did you learn new techniques that enabled you to improve your performance?,4. How completely were all of your senses engaged?,"During the experience, I felt the virtual world was reality for me. ",I felt present in the virtual world. ,I felt I could control my actions within the virtual world. ,I felt the virtual world was responsive to my actions. ,I felt I could move or manipulate objects easily in the virtual world. ,I felt involved in the virtual world experience. ,I could concentrate on the virtual activities rather than the controls to perform them. ,"When something happened to my virtual body, I felt it happened to my real body. ",  My sense of being in the virtual world was like being in a real place.,I felt like I was actually there in the virtual world. ,How fatigued where you after the experience?,4. Own Performance
17.06.2025 17:57:16,C0,Shovel,1,1,1,1,0 - No physical challenge,,,,,,1,1,2,,,,,,,,,,,,,,,,6,7,7,7,7,7,7,1,,6,1 -  Very alert and fully awake,
17.06.2025 18:03:52,C2,Shovel,1,1,7,7,1 - Very light,,,,,,1,1,3,,,,,,,,,,,,,,,,6,7,6,5,5,7,6,1,,5,3 -  Some vitality,
17.06.2025 18:09:21,P0,Shovel,3,1,1,1,2 - Light,,,,,,7,7,2,,,,,,,,,,,,,,,,6,7,7,7,7,7,6,3,,7,3 -  Some vitality,
17.06.2025 18:14:04,P1,Shovel,1,1,5,3,2 - Light,,,,,,7,7,1,,,,,,,,,,,,,,,,5,7,3,3,4,7,6,1,,6,4 -  A little tired and lacking energy,
23.06.2025 14:18:23,P2,Cube,,,,,3 - Moderate,,,,,,7,7,3,,,,,,,,,,,,,,,,3,3,6,5,6,6,7,2,,2,2 - Very energetic but no longer at one’s peak,
23.06.2025 14:21:10,C2,Cube,,,,,1 - Very light,,,,,,2,2,3,,,,,,,,,,,,,,,,2,3,6,6,6,6,6,1,,2,1 -  Very alert and fully awake,
23.06.2025 14:24:09,C1,Cube,,,,,1 - Very light,,,,,,2,2,3,,,,,,,,,,,,,,,,2,4,6,6,7,6,5,2,,3,1 -  Very alert and fully awake,
23.06.2025 14:26:54,P1,Cube,,,,,1 - Very light,,,,,,7,7,2,,,,,,,,,,,,,,,,2,3,7,6,6,6,6,2,,3,1 -  Very alert and fully awake,
23.06.2025 14:30:34,C0,Cube,,,,,1 - Very light,,,,,,3,2,2,,,,,,,,,,,,,,,,2,4,6,6,7,6,6,2,,3,1 -  Very alert and fully awake,
23.06.2025 14:33:04,P0,Cube,,,,,1 - Very light,,,,,,7,7,3,,,,,,,,,,,,,,,,2,4,7,7,7,6,6,5,,2,1 -  Very alert and fully awake,
23.06.2025 14:41:40,P2,Shovel,2,3,1,1,2 - Light,,,,,,7,7,5,,,,,,,,,,,,,,,,3,5,5,5,6,6,5,2,,5,2 - Very energetic but no longer at one’s peak,
23.06.2025 14:45:55,C2,Shovel,1,2,2,2,1 - Very light,,,,,,2,2,6,,,,,,,,,,,,,,,,5,5,6,6,7,7,5,1,,3,1 -  Very alert and fully awake,
23.06.2025 14:49:29,C1,Shovel,1,1,1,1,1 - Very light,,,,,,2,1,5,,,,,,,,,,,,,,,,3,5,6,6,7,6,6,2,,4,1 -  Very alert and fully awake,
23.06.2025 14:52:56,P1,Shovel,2,2,1,1,2 - Light,,,,,,7,7,5,,,,,,,,,,,,,,,,3,6,7,6,7,7,6,2,,5,2 - Very energetic but no longer at one’s peak,
23.06.2025 14:56:00,C0,Shovel,1,2,1,2,2 - Light,,,,,,2,1,5,,,,,,,,,,,,,,,,3,6,7,7,7,7,7,2,,5,2 - Very energetic but no longer at one’s peak,
23.06.2025 14:59:14,P0,Shovel,2,4,2,3,2 - Light,,,,,,7,7,4,,,,,,,,,,,,,,,,3,6,7,7,7,7,7,2,,5,2 - Very energetic but no longer at one’s peak,
24.06.2025 11:07:47,C2,Cube,,,,,1 - Very light,,,,,,3,2,1,,,,,,,,,,,,,,,,1,4,5,3,6,4,6,5,,3,1 -  Very alert and fully awake,
24.06.2025 11:12:32,P1,Cube,,,,,2 - Light,,,,,,7,7,2,,,,,,,,,,,,,,,,2,4,5,3,7,5,7,2,,3,2 - Very energetic but no longer at one’s peak,
24.06.2025 11:16:30,P2,Cube,,,,,2 - Light,,,,,,7,2,2,,,,,,,,,,,,,,,,2,4,5,3,6,5,7,2,,3,2 - Very energetic but no longer at one’s peak,
24.06.2025 11:21:19,P0,Cube,,,,,2 - Light,,,,,,7,7,2,,,,,,,,,,,,,,,,3,3,6,5,7,5,7,2,,3,2 - Very energetic but no longer at one’s peak,
24.06.2025 11:25:00,C1,Cube,,,,,2 - Light,,,,,,3,6,2,,,,,,,,,,,,,,,,3,3,5,5,7,5,7,3,,3,2 - Very energetic but no longer at one’s peak,
24.06.2025 11:28:16,C0,Cube,,,,,2 - Light,,,,,,2,2,2,,,,,,,,,,,,,,,,3,3,5,6,7,5,7,2,,3,3 -  Some vitality,
24.06.2025 11:43:21,C2,Shovel,1,1,5,5,3 - Moderate,,,,,,1,1,2,,,,,,,,,,,,,,,,3,3,2,2,3,6,7,2,,3,3 -  Some vitality,
24.06.2025 11:48:25,P1,Shovel,1,1,1,1,3 - Moderate,,,,,,7,7,2,,,,,,,,,,,,,,,,3,5,7,7,7,6,7,5,,3,3 -  Some vitality,
24.06.2025 11:53:32,P2,Shovel,1,1,6,6,3 - Moderate,,,,,,7,7,3,,,,,,,,,,,,,,,,5,5,6,5,7,7,7,5,,5,3 -  Some vitality,
24.06.2025 11:57:55,P0,Shovel,1,1,1,1,2 - Light,,,,,,7,7,2,,,,,,,,,,,,,,,,2,3,5,6,6,6,7,2,,3,3 -  Some vitality,
24.06.2025 12:02:50,C1,Shovel,1,1,1,1,2 - Light,,,,,,2,4,2,,,,,,,,,,,,,,,,3,4,5,6,6,6,7,3,,3,3 -  Some vitality,
24.06.2025 12:07:08,C0,Shovel,1,1,1,1,2 - Light,,,,,,3,2,2,,,,,,,,,,,,,,,,3,4,6,6,7,6,7,3,,3,3 -  Some vitality,
24.06.2025 13:16:59,P1,Cube,,,,,0 - No physical challenge,,,,,,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,,7,1 -  Very alert and fully awake,
24.06.2025 13:21:21,P0,Cube,,,,,0 - No physical challenge,,,,,,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,,7,1 -  Very alert and fully awake,
24.06.2025 13:23:53,C2,Cube,,,,,0 - No physical challenge,,,,,,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,,7,1 -  Very alert and fully awake,
24.06.2025 13:26:56,C0,Cube,,,,,0 - No physical challenge,,,,,,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,,7,1 -  Very alert and fully awake,
24.06.2025 13:29:55,P2,Cube,,,,,0 - No physical challenge,,,,,,7,7,7,,,,,,,,,,,,,,,,7,7,7,5,5,7,6,7,,7,1 -  Very alert and fully awake,
24.06.2025 13:33:29,C1,Cube,,,,,0 - No physical challenge,,,,,,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,,7,1 -  Very alert and fully awake,
24.06.2025 13:38:35,P1,Shovel,1,1,3,2,1 - Very light,,,,,,7,7,7,,,,,,,,,,,,,,,,7,7,7,5,4,7,6,7,,7,1 -  Very alert and fully awake,
24.06.2025 13:43:35,P0,Shovel,1,1,1,1,2 - Light,,,,,,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,,7,1 -  Very alert and fully awake,
24.06.2025 13:48:42,C2,Shovel,1,1,1,1,1 - Very light,,,,,,3,2,7,,,,,,,,,,,,,,,,7,7,6,6,6,7,6,7,,7,1 -  Very alert and fully awake,
24.06.2025 13:53:01,C0,Shovel,1,1,1,1,1 - Very light,,,,,,2,1,7,,,,,,,,,,,,,,,,7,7,6,5,5,7,6,7,,7,1 -  Very alert and fully awake,
24.06.2025 13:57:46,P2,Shovel,1,1,1,1,2 - Light,,,,,,7,7,7,,,,,,,,,,,,,,,,7,7,6,5,6,7,7,7,,7,2 - Very energetic but no longer at one’s peak,
24.06.2025 14:01:35,C1,Shovel,1,1,1,1,1 - Very light,,,,,,2,2,7,,,,,,,,,,,,,,,,7,7,6,4,4,7,6,7,,7,1 -  Very alert and fully awake,
24.06.2025 14:51:15,P0,Cube,,,,,1 - Very light,,,,,,7,6,5,,,,,,,,,,,,,,,,6,6,4,5,5,6,7,7,,6,1 -  Very alert and fully awake,
24.06.2025 14:55:10,C0,Cube,,,,,1 - Very light,,,,,,3,2,5,,,,,,,,,,,,,,,,5,5,5,4,4,5,5,3,,4,1 -  Very alert and fully awake,
24.06.2025 14:58:54,P1,Cube,,,,,1 - Very light,,,,,,5,5,5,,,,,,,,,,,,,,,,5,6,3,6,5,5,5,4,,5,1 -  Very alert and fully awake,
24.06.2025 15:02:28,C1,Cube,,,,,1 - Very light,,,,,,5,5,5,,,,,,,,,,,,,,,,5,6,5,6,6,5,7,5,,6,1 -  Very alert and fully awake,
24.06.2025 15:06:15,C2,Cube,,,,,1 - Very light,,,,,,6,4,6,,,,,,,,,,,,,,,,6,5,4,3,4,4,4,3,,6,1 -  Very alert and fully awake,
24.06.2025 15:10:29,P2,Cube,,,,,1 - Very light,,,,,,6,6,6,,,,,,,,,,,,,,,,6,5,3,3,3,3,4,3,,6,1 -  Very alert and fully awake,
24.06.2025 15:14:59,P0,Shovel,2,2,2,2,2 - Light,,,,,,2,3,6,,,,,,,,,,,,,,,,6,5,7,7,6,5,6,6,,6,1 -  Very alert and fully awake,
24.06.2025 15:20:01,C0,Shovel,2,2,2,2,2 - Light,,,,,,4,3,5,,,,,,,,,,,,,,,,5,4,2,2,2,3,2,3,,4,1 -  Very alert and fully awake,
24.06.2025 15:24:52,P1,Shovel,2,2,5,5,2 - Light,,,,,,4,3,5,,,,,,,,,,,,,,,,6,5,4,3,2,4,3,3,,6,1 -  Very alert and fully awake,
24.06.2025 15:29:22,C1,Shovel,2,2,2,2,2 - Light,,,,,,4,2,6,,,,,,,,,,,,,,,,5,5,5,5,6,6,6,6,,6,1 -  Very alert and fully awake,
24.06.2025 15:35:13,C2,Shovel,2,4,4,4,3 - Moderate,,,,,,4,2,5,,,,,,,,,,,,,,,,5,6,3,3,3,4,3,4,,4,1 -  Very alert and fully awake,
24.06.2025 15:39:45,P2,Shovel,4,4,6,6,3 - Moderate,,,,,,4,3,6,,,,,,,,,,,,,,,,6,5,4,4,3,5,5,3,,5,1 -  Very alert and fully awake,
25.06.2025 11:30:29,C0,Cube,,,,,1 - Very light,,,,,,2,2,5,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,3,,5,1 -  Very alert and fully awake,
25.06.2025 11:33:17,C1,Cube,,,,,1 - Very light,,,,,,2,2,5,,,,,,,,,,,,,,,,6,5,5,5,6,5,6,3,,6,1 -  Very alert and fully awake,
25.06.2025 11:36:20,C2,Cube,,,,,1 - Very light,,,,,,2,2,5,,,,,,,,,,,,,,,,5,6,4,4,4,5,5,3,,6,1 -  Very alert and fully awake,
25.06.2025 11:39:18,P0,Cube,,,,,1 - Very light,,,,,,6,6,6,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,6,,6,2 - Very energetic but no longer at one’s peak,
25.06.2025 11:42:24,P1,Cube,,,,,1 - Very light,,,,,,6,6,6,,,,,,,,,,,,,,,,6,6,5,5,6,6,6,5,,6,2 - Very energetic but no longer at one’s peak,
25.06.2025 11:45:00,P2,Cube,,,,,1 - Very light,,,,,,6,6,6,,,,,,,,,,,,,,,,6,6,6,5,6,6,6,5,,6,2 - Very energetic but no longer at one’s peak,
25.06.2025 11:54:54,C0,Shovel,2,2,2,2,2 - Light,,,,,,2,2,5,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,2,,5,2 - Very energetic but no longer at one’s peak,
25.06.2025 11:58:28,C1,Shovel,2,2,2,2,1 - Very light,,,,,,2,2,5,,,,,,,,,,,,,,,,5,5,4,4,4,5,5,2,,5,3 -  Some vitality,
25.06.2025 12:07:51,C2,Shovel,2,2,2,2,2 - Light,,,,,,2,2,5,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,2,,5,3 -  Some vitality,
25.06.2025 12:11:42,P0,Shovel,3,3,3,3,3 - Moderate,,,,,,7,6,5,,,,,,,,,,,,,,,,5,5,5,5,6,5,5,6,,5,3 -  Some vitality,
25.06.2025 12:14:50,P1,Shovel,3,3,3,3,3 - Moderate,,,,,,7,6,5,,,,,,,,,,,,,,,,5,5,6,5,5,5,5,5,,5,4 -  A little tired and lacking energy,
25.06.2025 12:18:20,P2,Shovel,3,3,3,3,3 - Moderate,,,,,,7,7,6,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,6,,5,4 -  A little tired and lacking energy,
25.06.2025 12:40:59,C1,Cube,,,,,1 - Very light,,,,,,1,1,5,,,,,,,,,,,,,,,,4,5,5,5,5,5,5,3,,4,2 - Very energetic but no longer at one’s peak,
25.06.2025 12:44:46,P2,Cube,,,,,1 - Very light,,,,,,6,5,5,,,,,,,,,,,,,,,,4,6,5,5,5,5,5,5,,4,2 - Very energetic but no longer at one’s peak,
25.06.2025 12:48:17,C0,Cube,,,,,1 - Very light,,,,,,1,1,5,,,,,,,,,,,,,,,,4,4,6,4,5,5,5,3,,4,2 - Very energetic but no longer at one’s peak,
25.06.2025 12:51:12,C2,Cube,,,,,1 - Very light,,,,,,1,1,5,,,,,,,,,,,,,,,,4,5,5,5,5,5,5,4,,5,2 - Very energetic but no longer at one’s peak,
25.06.2025 12:54:18,P0,Cube,,,,,1 - Very light,,,,,,7,5,5,,,,,,,,,,,,,,,,5,5,5,4,6,5,5,4,,5,2 - Very energetic but no longer at one’s peak,
25.06.2025 12:57:13,P1,Cube,,,,,1 - Very light,,,,,,6,4,5,,,,,,,,,,,,,,,,5,5,5,4,5,5,5,4,,6,2 - Very energetic but no longer at one’s peak,
25.06.2025 13:03:18,C1,Shovel,1,1,3,3,3 - Moderate,,,,,,1,1,6,,,,,,,,,,,,,,,,5,5,5,4,5,6,5,3,,6,3 -  Some vitality,
25.06.2025 13:07:34,P2,Shovel,1,1,3,3,3 - Moderate,,,,,,1,1,6,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,4,,6,3 -  Some vitality,
25.06.2025 13:11:50,C0,Shovel,1,1,1,1,3 - Moderate,,,,,,1,1,6,,,,,,,,,,,,,,,,6,6,6,6,4,6,5,3,,6,3 -  Some vitality,
25.06.2025 13:15:32,C2,Shovel,1,1,1,1,2 - Light,,,,,,1,1,6,,,,,,,,,,,,,,,,6,5,6,4,5,5,5,3,,6,2 - Very energetic but no longer at one’s peak,
25.06.2025 13:19:32,P0,Shovel,1,1,2,2,3 - Moderate,,,,,,5,3,6,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,3,,6,3 -  Some vitality,
25.06.2025 13:23:45,P1,Shovel,1,1,1,1,3 - Moderate,,,,,,5,3,6,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,6,3 -  Some vitality,
